end_date,nasdaq_21d_return_pct,hy_oas_21d_change_pp,baa10y_21d_change_pp,credit_stress_21d_pp_weighted,regime
2023-03-17,-3.65,0.99,0.39,0.81,Mixed/neutral
2023-03-20,-1.52,0.91,0.35,0.742,Mixed/neutral
2023-03-21,0.62,0.47,0.22,0.395,Mixed/neutral
2023-03-22,1.55,0.51,0.29,0.444,Mixed/neutral
2023-03-23,2.44,0.69,0.41,0.606,Mixed/neutral
2023-03-24,2.02,0.92,0.38,0.758,Mixed/neutral
2023-03-27,3.28,0.75,0.33,0.624,Mixed/neutral
2023-03-28,2.17,0.8,0.32,0.656,Mixed/neutral
2023-03-29,4.11,0.61,0.25,0.502,Mixed/neutral
2023-03-30,5.57,0.57,0.27,0.48,Mixed/neutral
2023-03-31,6.62,0.4,0.29,0.367,Mixed/neutral
2023-04-03,4.28,0.53,0.32,0.467,Mixed/neutral
2023-04-04,3.86,0.76,0.31,0.625,Mixed/neutral
2023-04-05,4.05,0.86,0.35,0.707,Mixed/neutral
2023-04-06,4.42,0.75,0.32,0.621,Mixed/neutral
2023-04-10,6.58,0.43,0.24,0.373,Mixed/neutral
2023-04-11,8.02,0.02,0.09,0.041,Mixed/neutral
2023-04-12,6.62,-0.41,-0.06,-0.305,Risk-on relief
2023-04-13,6.46,-0.25,-0.04,-0.187,Risk-on relief
2023-04-14,6.03,-0.77,-0.17,-0.59,Risk-on relief
2023-04-17,3.76,-0.52,-0.14,-0.406,Mixed/neutral
2023-04-18,4.5,-0.8,-0.2,-0.62,Mixed/neutral
2023-04-19,4.13,-0.74,-0.18,-0.572,Mixed/neutral
2023-04-20,1.68,-0.31,-0.06,-0.235,Mixed/neutral
2023-04-21,3.45,-0.54,-0.12,-0.414,Mixed/neutral
2023-04-24,2.12,-0.62,-0.22,-0.5,Mixed/neutral
2023-04-25,-0.21,-0.58,-0.15,-0.451,Mixed/neutral
2023-04-26,0.73,-0.4,-0.08,-0.304,Mixed/neutral
2023-04-27,3.64,-0.53,-0.12,-0.407,Mixed/neutral
2023-04-28,2.52,-0.33,-0.07,-0.252,Mixed/neutral
2023-05-01,1.66,-0.29,-0.05,-0.218,Mixed/neutral
2023-05-02,-1.16,0.12,0.05,0.099,Mixed/neutral
2023-05-03,-1.35,0.21,0.09,0.174,Mixed/neutral
2023-05-04,-1.32,0.22,0.14,0.196,Mixed/neutral
2023-05-05,1.99,-0.07,0.06,-0.031,Mixed/neutral
2023-05-08,1.4,-0.12,0.09,-0.057,Mixed/neutral
2023-05-09,0.79,0.04,0.12,0.064,Mixed/neutral
2023-05-10,2.28,0.15,0.21,0.168,Mixed/neutral
2023-05-11,3.35,0.19,0.17,0.184,Mixed/neutral
2023-05-12,0.97,0.27,0.14,0.231,Mixed/neutral
2023-05-15,1.99,0.34,0.22,0.304,Mixed/neutral
2023-05-16,1.52,0.38,0.26,0.344,Mixed/neutral
2023-05-17,2.86,0.38,0.25,0.341,Mixed/neutral
2023-05-18,4.37,0.28,0.19,0.253,Mixed/neutral
2023-05-19,4.96,0.08,0.13,0.095,Mixed/neutral
