date,nasdaq_composite,baa_minus_10y_spread,high_yield_oas
2023-02-15,12070.59,1.82,4.18
2023-02-16,11855.83,1.84,4.24
2023-02-17,11787.27,1.89,4.38
2023-02-21,11492.3,1.87,4.49
2023-02-22,11507.07,1.85,4.41
2023-02-23,11590.4,1.86,4.3
2023-02-24,11394.94,1.86,4.28
2023-02-27,11466.98,1.87,4.21
2023-02-28,11455.54,1.9,4.22
2023-03-01,11379.48,1.84,4.17
2023-03-02,11462.98,1.82,4.18
2023-03-03,11689.01,1.79,4.05
2023-03-06,11675.74,1.79,3.97
2023-03-07,11530.33,1.79,3.98
2023-03-08,11576.0,1.79,4.09
2023-03-09,11338.35,1.85,4.27
2023-03-10,11138.89,1.96,4.61
2023-03-13,11188.84,2.14,5.03
2023-03-14,11428.15,2.11,4.74
2023-03-15,11434.05,2.22,5.2
2023-03-16,11717.28,2.16,4.93
2023-03-17,11630.51,2.21,5.17
2023-03-20,11675.54,2.19,5.15
2023-03-21,11860.11,2.11,4.85
2023-03-22,11669.96,2.16,5.0
2023-03-23,11787.4,2.26,5.1
2023-03-24,11823.96,2.24,5.22
2023-03-27,11768.84,2.19,5.03
2023-03-28,11716.08,2.19,5.01
2023-03-29,11926.24,2.15,4.83
2023-03-30,12013.47,2.11,4.74
2023-03-31,12221.91,2.11,4.58
2023-04-03,12189.45,2.11,4.58
2023-04-04,12126.33,2.1,4.73
2023-04-05,11996.86,2.14,4.84
2023-04-06,12087.96,2.11,4.84
2023-04-10,12084.36,2.09,4.7
2023-04-11,12031.88,2.05,4.63
2023-04-12,11929.34,2.08,4.62
2023-04-13,12166.27,2.07,4.49
2023-04-14,12123.47,2.05,4.43
2023-04-17,12157.72,2.02,4.41
2023-04-18,12153.41,2.01,4.37
2023-04-19,12157.23,2.01,4.41
2023-04-20,12059.56,2.05,4.54
2023-04-21,12072.46,2.04,4.46
2023-04-24,12037.2,2.04,4.48
2023-04-25,11799.16,2.09,4.64
2023-04-26,11854.35,2.11,4.63
2023-04-27,12142.24,2.07,4.48
2023-04-28,12226.58,2.08,4.5
2023-05-01,12212.6,2.06,4.45
2023-05-02,12080.51,2.16,4.7
2023-05-03,12025.33,2.2,4.79
2023-05-04,11966.4,2.24,4.95
2023-05-05,12235.41,2.2,4.77
2023-05-08,12256.92,2.2,4.72
2023-05-09,12179.55,2.21,4.74
2023-05-10,12306.44,2.26,4.78
2023-05-11,12328.51,2.25,4.81
2023-05-12,12284.74,2.21,4.76
2023-05-15,12365.21,2.27,4.77
2023-05-16,12343.05,2.28,4.79
2023-05-17,12500.57,2.26,4.75
2023-05-18,12688.84,2.2,4.69
2023-05-19,12657.9,2.18,4.62
2023-05-22,12720.78,2.19,4.54
2023-05-23,12560.25,2.19,4.6
2023-05-24,12484.16,2.18,4.68
2023-05-25,12698.09,2.1,4.58
2023-05-26,12975.69,2.1,4.53
2023-05-30,13017.43,2.14,4.58
