city,period,mom_index_last_month_100,yoy_index_same_month_last_year_100,avg_index_jan_dec_last_year_100,mom_change_percent,yoy_change_percent,source,population_2020_census,population_source
Beijing,2025-12,99.6,97.6,96.1,-0.4,-2.4,NBS official table I,18960744,"China Seventh National Census (2020), city-level urban aggregates"
Tangshan,2025-12,99.3,94.0,93.3,-0.7,-6.0,NBS official table I,2549968,"China Seventh National Census (2020), city-level urban aggregates"
Tianjin,2025-12,99.4,97.0,98.0,-0.6,-3.0,NBS official table I,11052404,"China Seventh National Census (2020), city-level urban aggregates"
Qinhuangdao,2025-12,99.4,95.3,94.1,-0.6,-4.7,NBS official table I,1520199,"China Seventh National Census (2020), city-level urban aggregates"
Shijiazhuang,2025-12,99.8,96.1,96.4,-0.2,-3.9,NBS official table I,5090440,"China Seventh National Census (2020), city-level urban aggregates"
Baotou,2025-12,99.0,93.2,93.8,-1.0,-6.8,NBS official table I,2104114,"China Seventh National Census (2020), city-level urban aggregates"
Taiyuan,2025-12,99.8,99.1,100.6,-0.2,-0.9,NBS official table I,4303673,"China Seventh National Census (2020), city-level urban aggregates"
Dandong,2025-12,100.0,96.9,95.2,0.0,-3.1,NBS official table I,748983,"China Seventh National Census (2020), city-level urban aggregates"
Hohhot,2025-12,99.5,96.0,94.6,-0.5,-4.0,NBS official table I,2373399,"China Seventh National Census (2020), city-level urban aggregates"
Jinzhou,2025-12,99.8,97.0,96.1,-0.2,-3.0,NBS official table I,1021478,"China Seventh National Census (2020), city-level urban aggregates"
Shenyang,2025-12,99.7,99.7,98.6,-0.3,-0.3,NBS official table I,7026358,"China Seventh National Census (2020), city-level urban aggregates"
Jilin,2025-12,100.1,96.9,95.4,0.1,-3.1,NBS official table I,1509292,"China Seventh National Census (2020), city-level urban aggregates"
Dalian,2025-12,99.8,98.9,96.7,-0.2,-1.1,NBS official table I,4913879,"China Seventh National Census (2020), city-level urban aggregates"
Mudanjiang,2025-12,100.0,97.9,95.2,0.0,-2.1,NBS official table I,808216,"China Seventh National Census (2020), city-level urban aggregates"
Changchun,2025-12,100.2,97.2,96.3,0.2,-2.8,NBS official table I,4557356,"China Seventh National Census (2020), city-level urban aggregates"
Wuxi,2025-12,99.8,95.6,96.0,-0.2,-4.4,NBS official table I,3956985,"China Seventh National Census (2020), city-level urban aggregates"
Harbin,2025-12,99.5,97.5,96.0,-0.5,-2.5,NBS official table I,5242897,"China Seventh National Census (2020), city-level urban aggregates"
