country,region,ewaste_generated_million_kg_2022,ewaste_generated_kg_per_capita_2022,ewaste_documented_collected_million_kg_2022,source_report
Afghanistan,Asia,32.0,0.8,,Global E-waste Monitor 2024 (UNITAR/ITU)
Albania,Europe,24.0,8.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
Algeria,Africa,333.0,7.5,,Global E-waste Monitor 2024 (UNITAR/ITU)
Angola,Africa,148.0,4.2,,Global E-waste Monitor 2024 (UNITAR/ITU)
Antigua and Barbuda,Americas,1.0,13.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
Argentina,Americas,517.0,11.4,14.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Armenia,Asia,22.0,7.8,,Global E-waste Monitor 2024 (UNITAR/ITU)
Aruba,Americas,2.0,20.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Australia,Oceania,583.0,22.4,292.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Austria,Europe,175.0,19.6,133.2,Global E-waste Monitor 2024 (UNITAR/ITU)
Azerbaijan,Asia,90.0,8.7,0.01,Global E-waste Monitor 2024 (UNITAR/ITU)
Bahamas,Americas,7.0,17.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Bahrain,Asia,26.0,17.8,,Global E-waste Monitor 2024 (UNITAR/ITU)
Bangladesh,Asia,367.0,2.2,,Global E-waste Monitor 2024 (UNITAR/ITU)
Barbados,Americas,4.0,14.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Belarus,Europe,111.0,11.6,31.0,Global E-waste Monitor 2024 (UNITAR/ITU)
Belgium,Europe,252.0,21.7,162.8,Global E-waste Monitor 2024 (UNITAR/ITU)
Belize,Americas,3.0,7.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Benin,Africa,14.0,1.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Bhutan,Asia,5.0,6.7,0.5,Global E-waste Monitor 2024 (UNITAR/ITU)
Bolivia,Americas,89.0,7.3,2.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Bosnia and Herzegovina,Europe,33.0,10.1,4.9,Global E-waste Monitor 2024 (UNITAR/ITU)
Botswana,Africa,23.0,8.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Brazil,Americas,2443.0,11.4,79.0,Global E-waste Monitor 2024 (UNITAR/ITU)
Brunei,Asia,9.0,19.9,,Global E-waste Monitor 2024 (UNITAR/ITU)
Bulgaria,Europe,90.0,13.2,75.5,Global E-waste Monitor 2024 (UNITAR/ITU)
Burkina Faso,Africa,17.0,0.8,,Global E-waste Monitor 2024 (UNITAR/ITU)
Burundi,Africa,8.0,0.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Cambodia,Asia,25.0,1.5,,Global E-waste Monitor 2024 (UNITAR/ITU)
Cameroon,Africa,33.0,1.2,0.1,Global E-waste Monitor 2024 (UNITAR/ITU)
Canada,Americas,774.0,20.2,98.0,Global E-waste Monitor 2024 (UNITAR/ITU)
Cape Verde,Africa,3.0,5.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
Central,Africa,3.0,0.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Chad,Africa,12.0,0.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Chile,Americas,230.0,11.7,7.3,Global E-waste Monitor 2024 (UNITAR/ITU)
China,Asia,12066.0,8.5,1951.7,Global E-waste Monitor 2024 (UNITAR/ITU)
"China, Hong",Asia,161.0,21.6,71.6,Global E-waste Monitor 2024 (UNITAR/ITU)
"China, Macao",Asia,13.0,18.5,,Global E-waste Monitor 2024 (UNITAR/ITU)
Colombia,Americas,388.0,7.5,4.9,Global E-waste Monitor 2024 (UNITAR/ITU)
