entity,code,year,dtp1_coverage_pct,dtp3_coverage_pct,dtp3_minus_dtp1_pct_gap,source
Afghanistan,AFG,1980,22,4,-18.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1981,,3,,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1982,24,5,-19.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1983,24,5,-19.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1984,39,16,-23.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1985,37,15,-22.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1986,32,11,-21.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1987,50,25,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1988,60,35,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1989,58,33,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1990,50,25,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1991,47,23,-24.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1992,45,21,-24.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1993,41,18,-23.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1994,33,12,-21.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1995,44,20,-24.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1996,56,31,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1997,48,28,-20.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1998,48,27,-21.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,1999,48,27,-21.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2000,48,24,-24.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2001,59,33,-26.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2002,62,36,-26.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2003,66,41,-25.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2004,72,50,-22.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2005,76,58,-18.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2006,75,58,-17.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2007,76,63,-13.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2008,75,64,-11.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2009,72,63,-9.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2010,72,66,-6.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2011,78,68,-10.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
Afghanistan,AFG,2012,78,67,-11.00,Our World in Data (WHO/UNICEF 2025); UN WPP 2024
