date,year,month,latitude_deg,longitude_deg,t2m_c,precip_mm_per_day,evapotranspiration_mj_m2_day,season
2000-01,2000,1,40.5,84.9,-5.41,0.05,0.01,Dry (Oct-Jun)
2000-02,2000,2,40.5,84.9,-1.44,0.01,0.01,Dry (Oct-Jun)
2000-03,2000,3,40.5,84.9,6.47,0.0,0.01,Dry (Oct-Jun)
2000-04,2000,4,40.5,84.9,16.41,0.03,0.01,Dry (Oct-Jun)
2000-05,2000,5,40.5,84.9,25.14,0.13,0.01,Dry (Oct-Jun)
2000-06,2000,6,40.5,84.9,27.06,0.77,0.03,Dry (Oct-Jun)
2000-07,2000,7,40.5,84.9,30.7,0.22,0.08,Wet (Jul-Sep)
2000-08,2000,8,40.5,84.9,28.53,0.29,0.04,Wet (Jul-Sep)
2000-09,2000,9,40.5,84.9,21.92,0.05,0.02,Wet (Jul-Sep)
2000-10,2000,10,40.5,84.9,11.27,0.04,0.01,Dry (Oct-Jun)
2000-11,2000,11,40.5,84.9,2.14,0.01,0.01,Dry (Oct-Jun)
2000-12,2000,12,40.5,84.9,-5.02,0.03,0.0,Dry (Oct-Jun)
2001-01,2001,1,40.5,84.9,-6.74,0.02,0.0,Dry (Oct-Jun)
2001-02,2001,2,40.5,84.9,-0.38,0.01,0.01,Dry (Oct-Jun)
2001-03,2001,3,40.5,84.9,7.4,0.0,0.0,Dry (Oct-Jun)
2001-04,2001,4,40.5,84.9,14.53,0.15,0.01,Dry (Oct-Jun)
2001-05,2001,5,40.5,84.9,23.49,0.05,0.01,Dry (Oct-Jun)
2001-06,2001,6,40.5,84.9,28.66,0.19,0.01,Dry (Oct-Jun)
2001-07,2001,7,40.5,84.9,29.82,0.35,0.02,Wet (Jul-Sep)
2001-08,2001,8,40.5,84.9,29.05,0.14,0.02,Wet (Jul-Sep)
2001-09,2001,9,40.5,84.9,22.46,0.06,0.01,Wet (Jul-Sep)
2001-10,2001,10,40.5,84.9,13.25,0.06,0.01,Dry (Oct-Jun)
2001-11,2001,11,40.5,84.9,4.79,0.0,0.01,Dry (Oct-Jun)
2001-12,2001,12,40.5,84.9,-7.15,0.08,0.0,Dry (Oct-Jun)
2002-01,2002,1,40.5,84.9,-5.83,0.06,0.0,Dry (Oct-Jun)
2002-02,2002,2,40.5,84.9,-0.9,0.0,0.01,Dry (Oct-Jun)
2002-03,2002,3,40.5,84.9,7.39,0.03,0.01,Dry (Oct-Jun)
2002-04,2002,4,40.5,84.9,14.48,0.26,0.02,Dry (Oct-Jun)
2002-05,2002,5,40.5,84.9,22.03,0.07,0.03,Dry (Oct-Jun)
2002-06,2002,6,40.5,84.9,28.55,0.39,0.03,Dry (Oct-Jun)
2002-07,2002,7,40.5,84.9,29.61,0.37,0.05,Wet (Jul-Sep)
2002-08,2002,8,40.5,84.9,30.74,0.09,0.03,Wet (Jul-Sep)
2002-09,2002,9,40.5,84.9,21.04,0.15,0.01,Wet (Jul-Sep)
2002-10,2002,10,40.5,84.9,14.53,0.01,0.01,Dry (Oct-Jun)
2002-11,2002,11,40.5,84.9,4.89,0.0,0.0,Dry (Oct-Jun)
2002-12,2002,12,40.5,84.9,-7.97,0.24,0.0,Dry (Oct-Jun)
2003-01,2003,1,40.5,84.9,-7.85,0.01,0.0,Dry (Oct-Jun)
2003-02,2003,2,40.5,84.9,-1.34,0.19,0.01,Dry (Oct-Jun)
2003-03,2003,3,40.5,84.9,6.06,0.27,0.03,Dry (Oct-Jun)
2003-04,2003,4,40.5,84.9,13.39,0.3,0.07,Dry (Oct-Jun)
2003-05,2003,5,40.5,84.9,21.51,0.08,0.08,Dry (Oct-Jun)
2003-06,2003,6,40.5,84.9,28.02,0.5,0.06,Dry (Oct-Jun)
2003-07,2003,7,40.5,84.9,28.66,0.33,0.08,Wet (Jul-Sep)
2003-08,2003,8,40.5,84.9,27.81,0.27,0.06,Wet (Jul-Sep)
