year,wet_season_precip_mm_per_day,dry_season_precip_mm_per_day,wet_minus_dry_precip_mm_per_day
2000,0.186667,0.118889,0.067778
2001,0.183333,0.062222,0.121111
2002,0.203333,0.117778,0.085556
2003,0.343333,0.162222,0.181111
2004,0.163333,0.11,0.053333
2005,0.463333,0.131111,0.332222
2006,0.236667,0.157778,0.078889
2007,0.426667,0.026667,0.4
2008,0.413333,0.097778,0.315556
2009,0.246667,0.046667,0.2
2010,0.146667,0.164444,-0.017778
2011,0.1,0.083333,0.016667
2012,0.2,0.244444,-0.044444
2013,0.236667,0.126667,0.11
2014,0.203333,0.107778,0.095556
2015,0.336667,0.227778,0.108889
2016,0.73,0.176667,0.553333
2017,0.4,0.206667,0.193333
2018,0.213333,0.162222,0.051111
2019,0.176667,0.19,-0.013333
2020,0.353333,0.063333,0.29
2021,0.366667,0.191111,0.175556
2022,0.326667,0.084444,0.242222
2023,0.42,0.146667,0.273333
2024,0.7,0.126667,0.573333
2025,0.36,0.036667,0.323333
