model,model_year,recall_count,ota_recall_count,ota_share_pct,first_report_received_date,last_report_received_date,query_error
MODEL Y,2020,22,16,72.73,2020-09-30,2024-12-17,
MODEL Y,2021,21,15,71.43,2021-05-25,2024-12-17,
MODEL Y,2022,18,15,83.33,2021-11-21,2024-12-17,
MODEL Y,2023,15,9,60.0,2022-11-15,2025-02-14,
MODEL Y,2024,5,3,60.0,2024-01-30,2025-01-07,
MODEL Y,2025,2,1,50.0,2024-12-17,2025-01-07,
MODEL Y,2026,5,0,0.0,2025-05-30,2025-10-10,
MODEL 3,2020,20,14,70.0,2021-05-25,2024-12-17,
MODEL 3,2021,20,15,75.0,2021-05-25,2024-12-17,
MODEL 3,2022,16,15,93.75,2022-01-27,2024-12-17,
MODEL 3,2023,10,8,80.0,2021-10-25,2025-02-14,
MODEL 3,2024,4,2,50.0,2024-04-19,2025-01-07,
MODEL 3,2025,3,1,33.33,2024-12-17,2025-10-10,
MODEL 3,2026,1,0,0.0,2025-06-18,2025-06-18,
MODEL S,2020,11,10,90.91,2021-10-29,2024-05-28,
MODEL S,2021,23,15,65.22,2021-10-29,2025-03-19,
MODEL S,2022,19,13,68.42,2022-01-27,2025-03-19,
MODEL S,2023,12,7,58.33,2023-02-15,2025-03-19,
MODEL S,2024,6,2,33.33,2023-11-03,2025-03-19,
MODEL S,2025,2,0,0.0,2024-12-24,2025-01-07,
MODEL S,2026,0,0,0,,,HTTP Error 400: Bad Request
MODEL X,2020,10,10,100.0,2021-10-29,2024-05-28,
MODEL X,2021,23,17,73.91,2021-10-29,2025-03-19,
MODEL X,2022,21,15,71.43,2022-01-27,2025-03-19,
MODEL X,2023,16,10,62.5,2022-11-15,2025-03-19,
MODEL X,2024,8,4,50.0,2023-11-03,2025-03-19,
MODEL X,2025,3,0,0.0,2024-12-24,2025-03-19,
MODEL X,2026,0,0,0,,,HTTP Error 400: Bad Request
CYBERTRUCK,2020,0,0,0,,,HTTP Error 400: Bad Request
CYBERTRUCK,2021,0,0,0,,,HTTP Error 400: Bad Request
CYBERTRUCK,2022,0,0,0,,,HTTP Error 400: Bad Request
CYBERTRUCK,2023,0,0,0,,,HTTP Error 400: Bad Request
CYBERTRUCK,2024,10,3,30.0,2024-01-30,2025-10-28,
CYBERTRUCK,2025,2,0,0.0,2025-03-18,2025-10-15,
CYBERTRUCK,2026,1,0,0.0,2025-10-15,2025-10-15,
